Site,Seagrass,Sample ID,Date,Season,Amphipod,Cumacea,Tanaidacea,Mysid,Isopod,Decopod,Calanoida,Cyclopoida,Harpacticoid,Ostrocod,Appendicularians,Ascidiceans,Fish Larvae,Fish eggs,Nemotoda
FB,SF,FB-SF,7/23/2020,Summer,0,0,0,0,0,0,2,1,9,0,0,0,0,7,0
LB,SF,LB-SF,7/23/2020,Summer,3,0,3,0,0,1,12,0,0,8,1,0,0,0,0
LB,TT,LB-TT,7/23/2020,Summer,1,0,11,0,0,4,19,11,16,2,7,1,0,0,0
LB,HS,LB-HS,7/23/2020,Summer,4,1,3,0,0,0,1,1,6,3,9,0,0,3,0
SB,HS,SB-HS,7/23/2020,Summer,0,0,0,0,0,0,6,3,11,7,0,1,0,0,0
SB,SF,SB-SF,7/23/2020,Summer,1,1,0,0,0,0,22,3,10,6,0,0,0,0,0
SI,HS,SI-HS,7/23/2020,Summer,0,0,0,0,0,0,6,4,17,1,12,0,0,0,0
SI,TT,SI-TT1,7/23/2020,Summer,0,1,0,0,1,0,3,1,6,1,0,0,0,0,0
SI,TT,SI-TT3,7/23/2020,Summer,0,2,0,0,0,0,3,2,1,0,1,1,0,0,0
SI,SF,SI-SF,7/23/2020,Summer,1,0,0,0,0,0,1,3,1,3,0,0,0,0,0
SI,SF,SI-SF,7/23/2020,Summer,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0
FB,HS,FB-HS,10/9/2020,Fall,1,1,5,0,0,1,3,32,39,11,0,0,0,0,1
FB,SF,FB-SF,10/9/2020,Fall,2,0,1,0,0,0,0,1,4,1,0,0,0,7,0
FB,TT,FB-TT,10/9/2020,Fall,4,0,0,0,1,1,8,7,21,6,3,0,0,0,0
LB,TT,LB-TT,10/9/2020,Fall,0,0,4,0,0,5,8,12,25,4,2,0,0,0,0
LB,SF,LB-SF,10/9/2020,Fall,0,0,2,0,0,5,4,8,3,3,3,1,0,3,0
LB,HS,LB-HS,10/9/2020,Fall,1,0,1,0,0,5,2,2,7,16,11,0,0,0,0
SB,HS,SB-HS,10/9/2020,Fall,0,0,0,0,0,1,5,31,12,0,0,0,0,0,0
SB,SF,SB-SF,10/9/2020,Fall,0,1,0,0,0,0,16,1,8,1,0,1,0,0,0
SI,TT,SI-TT,10/9/2020,Fall,2,2,0,0,0,0,0,2,6,0,2,0,0,8,0
SI,TT,SI-TT,10/9/2020,Fall,1,0,1,0,0,1,1,1,7,0,0,1,0,10,0
BB,HS,BB-HS2,10/10/2020,Fall,1,0,0,0,0,0,6,4,4,1,5,0,0,6,0
SI,HS,SI-HS2,10/10/2020,Fall,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0
SI,SF,SI-SF3,10/10/2020,Fall,0,0,0,0,0,0,1,0,3,6,0,1,0,0,0
SI,SF,SI-SF,10/10/2020,Fall,0,1,0,0,0,0,3,3,0,0,0,0,0,2,0
BB,HS,BB-HS2,12/11/2020,Winter,0,0,0,0,0,0,1,2,25,0,0,0,0,0,0
BB,HS,BB-HS2,2/15/2021,Winter,0,0,0,3,0,0,6,2,6,9,2,0,0,0,3
BB,HS,BB-HS1,2/15/2021,Winter,1,0,5,0,0,3,27,16,17,2,3,0,0,0,1
FB,TT,FB-TT,2/15/2021,Winter,0,0,0,0,0,2,2,9,6,0,0,0,0,0,1
FB,TT,FB-TT,2/15/2021,Winter,0,0,0,0,0,0,1,3,6,1,0,0,0,0,1
FB,SF,FB-SF,2/15/2021,Winter,2,1,0,0,2,0,9,3,2,6,0,1,0,3,0
FB,HS,FB-HS,2/15/2021,Winter,0,0,2,0,0,0,3,1,9,35,1,0,0,0,0
LB,SF,LB-SF,2/15/2021,Winter,2,1,2,0,2,0,1,26,11,0,0,1,0,3,0
LB,TT,LB-TT,2/15/2021,Winter,1,0,4,0,0,3,0,2,6,0,1,1,0,0,0
SB,SF,SB-SF,2/15/2021,Winter,4,1,0,0,3,4,3,3,3,8,0,0,0,0,0
SI,SF,SI-SF,2/15/2021,Winter,1,0,0,0,0,0,0,0,6,5,0,1,0,0,0
SB,HS,SB-HS,3/30/2021,Spring,1,0,0,0,0,0,9,12,8,1,0,0,0,2,0
SI,HS,SI-HS,4/15/2021,Spring,0,0,0,0,0,4,4,4,10,4,0,0,0,0,0
FB,HS,FB-HS,4/27/2021,Spring,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
FB,SF,FB-SF,4/27/2021,Spring,2,1,0,0,1,1,0,1,1,1,0,0,0,0,0
BB,HS,BB-HS2,4/30/2021,Spring,0,0,0,0,0,0,14,4,0,1,2,0,0,2,0
BB,HS,BB-HS1,4/30/2021,Spring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FB,HS,FB-HS,4/30/2021,Spring,1,1,1,0,0,0,5,23,21,1,4,0,0,0,1
LB,HS,LB-HS,4/30/2021,Spring,0,0,1,0,0,1,3,3,21,0,1,0,2,0,1
LB,TT,LB-TT,4/30/2021,Spring,0,0,3,0,0,0,15,3,9,3,5,0,0,0,0
SB,TT,SB-TT,4/30/2021,Spring,3,0,0,0,0,4,0,0,4,0,0,0,0,0,0
SB,SF,SI-SF,4/30/2021,Spring,5,1,0,0,0,1,6,11,8,3,0,1,0,0,0
SB,TT,SB-TT,4/30/2021,Spring,1,0,0,0,0,0,9,1,10,1,0,0,0,0,0
SI,TT,SI-TT,4/30/2021,Spring,0,3,0,0,0,1,6,4,33,2,2,0,2,0,1
SI,TT,SI-TT,4/30/2021,Spring,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0
SI,SF,SI-SF,4/30/2021,Spring,0,0,0,0,0,0,3,2,16,4,0,1,0,0,0
SI,SF,SI-SF3,4/30/2021,Spring,1,0,1,0,1,0,0,0,8,3,2,1,2,84,1
SI,HS,SI-HS1,4/30/2021,Spring,1,1,0,0,0,0,4,0,6,2,1,0,0,0,3
BB,HS,BB-HS2,9/2/2021,Fall,1,0,0,0,1,0,18,22,11,12,3,1,0,0,0
FB,SF,FB-SF,9/2/2021,Fall,0,0,0,0,0,0,3,6,6,1,0,0,0,0,0
FB,HS,FB-HS,9/2/2021,Fall,0,0,0,0,0,0,3,3,14,2,0,0,0,0,1
LB,TT,LB-TT,9/2/2021,Fall,0,0,4,0,0,4,12,10,36,4,11,0,0,0,3
LB,HS,LB-HS,9/2/2021,Fall,2,0,1,0,0,2,2,3,15,16,5,0,0,0,4
SB,SF,SB-SF,9/2/2021,Fall,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0
SB,HS,SB-HS,9/2/2021,Fall,0,0,2,0,0,3,1,6,26,2,0,1,0,0,5
SI,HS,SI-HS,9/2/2021,Fall,2,0,0,0,0,0,4,4,9,0,1,0,0,0,0
BB,HS,BB-HS1,10/10/2022,Fall,0,1,7,0,0,0,25,37,12,0,2,0,0,0,0
